Ingredience,Produkt,ID,URL,IMG,Cena,Jednotková cena,Jednotka,Velikost balení,Jednotka balení,Kategorie,Podobnost,Původ kategorie,seznam_receptu,Vhodný produkt
anglická slanina,Le & Co Anglická slanina speciál,19937,https://www.kosik.cz/p19937-le-co-anglicka-slanina-special-2,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/a1/860x800x1_a1nu6q7376d5.jpg,39.9,199.5,kg,200.0,g,0,0.781,True,babiččina sekaná,True
bobkový list,J.C. Horn Bobkový list,32397,https://www.kosik.cz/p32397-j-c-horn-bobkovy-list,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/vb/860x800x1_vbkgq3lpnou0.jpg,13.9,3475.0,kg,4.0,g,0,0.785,True,"svíčková, valašská kyselica",True
brambory,"Brambory konzumní rané prané, balení",10047,https://www.kosik.cz/p10047-ceska-produkce-brambory-konzumni-rane-neprane,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/l3/860x800x1_l3872c2xanbj.jpg,27.9,27.9,kg,1.0,kg,0,0.57,True,klasická česnečka,True
brusinky nakládané,ARO Brusinky,682052,https://www.kosik.cz/p682052-aro-brusinky-1,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/mf/860x800x1_mflzyo5am65y.jpg,28.76,159.777777778,kg,180.0,g,0,0.584,True,svíčková,True
celer,"Celer bulvový praný, 1 ks",9657,https://www.kosik.cz/p9657-celer-bulvovy-prany,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/sh/860x800x1_sh1ktwti7v4e.jpg,41.916,49.9,kg,840.0,g,0,0.566,True,"kuřecí vývar s játrovými knedlíčky, svíčková",True
cheddar,Dublin Dairy Cheddar White bloček,162707,https://www.kosik.cz/p162707-dublin-diary-cheddar-white-blocek,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/8u/860x800x1_8u4jmjhw9l1i.jpg,69.9,349.5,kg,200.0,g,0,0.591,True,dokonalý domácí hamburger,True
chilli mleté,Kotányi Mlýnek Chilli Birdseye,776192,https://www.kosik.cz/p776192-kotanyi-mlynek-chilli-birdseye,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/1q/860x800x1_1qx1bxinui9s.jpg,89.9,3745.833333333,kg,24.0,g,0,0.535,True,dršťková polévka,True
chilli sušené,Kotányi Mlýnek Chilli Birdseye,776192,https://www.kosik.cz/p776192-kotanyi-mlynek-chilli-birdseye,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/1q/860x800x1_1qx1bxinui9s.jpg,89.9,3745.833333333,kg,24.0,g,0,0.51,True,dokonalý domácí hamburger,True
cibule,"Cibule kuchyňská žlutá, síť",9787,https://www.kosik.cz/p9787-cibule-kuchynska-zluta-sit,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/vo/860x800x1_vo05t5md6f8s.jpg,16.9,33.8,kg,500.0,g,0,0.429,True,"babiččina sekaná, dokonalý domácí hamburger, dršťková polévka, hovězí guláš, klasická česnečka, kuřecí vývar s játrovými knedlíčky, svíčková, valašská kyselica",True
citron,"Citrony, síť",12277,https://www.kosik.cz/p12277-citrony-sit-3,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/gs/860x800x1_gskh6zv4nu0v.jpg,34.9,69.8,kg,500.0,g,0,0.728,True,svíčková,True
hamburgerová bulka,"Metro Chef Bulka na burger 6x52,5g",617999,https://www.kosik.cz/p617999-metro-chef-bulka-na-burger-6x52-5g,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/6g/860x800x1_6ghffsidfbyg.jpg,30.35,96.349206349,kg,315.0,g,0,0.571,True,dokonalý domácí hamburger,True
hlávkový salát,"Salát hlávkový, 1 ks",11797,https://www.kosik.cz/p11797-ceska-produkce-salat-hlavkovy-cerstvy,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/je/860x800x1_jezcbdvzsayc.jpg,34.9,174.5,kg,200.0,g,0,0.874,True,dokonalý domácí hamburger,True
hovězí dršťky,"Bidfood Hovězí dršťky, mražené",676266,https://www.kosik.cz/p676266-bidfood-hovezi-drstky-mrazene,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/85/860x800x1_85f2czqxmn4y.jpg,89.9,199.777777778,kg,450.0,g,0,0.691,True,dršťková polévka,True
hovězí maso mleté,Gurmet Hovězí mleté maso na burgery,222624,https://www.kosik.cz/p222624-gurmet-hovezi-mlete-na-burgery,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/e1/860x800x1_e19ijzf90u5y.jpg,224.9,224.9,kg,1.0,kg,0,0.765,True,dokonalý domácí hamburger,True
hovězí maso pečeně,Masna Rosovice Hovězí zadní plec,106417,https://www.kosik.cz/p106417-masna-rosovice-hovezi-zadni-plec,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/bc/860x800x1_bczf3d19t52e.jpg,254.709,279.9,kg,910.0,g,0,0.661,True,svíčková,True
hořčice dijonská,Amora Dijonská hořčice ostrá,771396,https://www.kosik.cz/p771396-amora-dijonska-horcice-ostra,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/sb/860x800x1_sbx54o21p13s.png,119.9,278.837209302,kg,430.0,g,0,0.764,True,dokonalý domácí hamburger,True
hořčice plnotučná,Alba Hořčice plnotučná s plombou,776386,https://www.kosik.cz/p776386-alba-horcice-plnotucna-s-plombou,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/lb/860x800x1_lbh25hfk6wem.png,15.9,39.75,kg,400.0,g,0,0.652,True,svíčková,True
jablečný ocet,Bzenecký ocet kvasný jablečný 5%,228454,https://www.kosik.cz/p228454-bzenecky-ocet-kvasny-jablecny-5,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/ev/860x800x1_evaob7mjvx7s.jpg,69.9,69.9,l,1.0,l,0,0.696,True,dokonalý domácí hamburger,True
játra kuřecí,Kuřecí játra,717964,https://www.kosik.cz/p717964-everyday-kureci-jatra,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/nd/860x800x1_ndgs3x1fqm1f.jpg,49.9,99.8,kg,500.0,g,0,0.987,True,kuřecí vývar s játrovými knedlíčky,True
kakao,Dr. Oetker Holandské kakao,252564,https://www.kosik.cz/p252564-dr-oetker-kakao-holandske,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/k0/860x800x1_k07v7a0n4ls7.png,62.9,629.0,kg,100.0,g,0,0.644,True,babiččina bábovka,True
kližka hovězí,Masna Rosovice Hovězí přední kližka,106327,https://www.kosik.cz/p106327-masna-rosovice-hovezi-predni-klizka,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/5p/860x800x1_5pnl4pwunskp.jpg,229.41,254.9,kg,900.0,g,0,0.751,True,hovězí guláš,True
klobása,Primas Peper farmářská klobása,144057,https://www.kosik.cz/p144057-primas-peper-farmarska-klobasa,https://static-new.kosik.cz/k3wCdnContainerk3w-static-ne-cz-prod/images/thumbs/bi/860x800x1_biwx8i3zemar.jpg,47.9,159.666666667,kg,300.0,g,0,0.578,True,valašská kyselica,True
