Ingredience,Produkt,ID,URL,IMG,Cena,Jednotková cena,Jednotka,Velikost balení,Jednotka balení,Kategorie,Podobnost,Původ kategorie,seznam_receptu,Vhodný produkt
anglická slanina,Dacello Anglická slanina 94 %,1410562,https://www.rohlik.cz/1410562-dacello-anglicka-slanina-94,https://cdn.rohlik.cz/images/grocery/products/1410562/1410562-1626361935968.jpg,78.9,263.0,kg,300.0,g,Uzeniny a lahůdky > Šunky a slaniny > Slaniny a špeky > V celku,0.734,True,babiččina sekaná,True
bobkový list,Nadir Bobkový list,1441771,https://www.rohlik.cz/1441771-nadir-bobkovy-list,https://cdn.rohlik.cz/images/grocery/products/1441771/1441771-1686718573356.jpg,29.9,1196.0,kg,25.0,g,Trvanlivé > Koření a ochucovadla > Jednodruhové koření,0.845,True,"svíčková, valašská kyselica",True
brambory,"Brambory neprané konzumní pozdní, balení",1328143,https://www.rohlik.cz/1328143-brambory-neprane-konzumni-pozdni-baleni,https://cdn.rohlik.cz/images/grocery/products/1328143/1328143-1502955454.jpg,91.9,18.38,kg,5.0,kg,Ovoce a zelenina > Zelenina > Brambory,0.537,True,klasická česnečka,True
brusinky nakládané,Kand Brusinky,1303555,https://www.rohlik.cz/1303555-kand-brusinky,https://cdn.rohlik.cz/images/grocery/products/1303555/1303555-1456245240.jpg,67.9,357.37,kg,190.0,g,"Trvanlivé > Konzervy, hotovky a instantní pokrmy > Konzervované ovoce",0.655,True,svíčková,True
celer,Celer bulvový 1ks,1350675,https://www.rohlik.cz/1350675-celer-bulvovy-1ks,https://cdn.rohlik.cz/images/grocery/products/1294581/1294581-1468051153.jpg,52.55,49.9,kg,1.05,kg,Ovoce a zelenina > Zelenina > Mrkev a kořenová zelenina > Ostatní kořenová zelenina,0.663,True,"kuřecí vývar s játrovými knedlíčky, svíčková",True
cheddar,Miil Cheddar 51% bloček,1406258,https://www.rohlik.cz/1406258-miil-cheddar-51-blocek,https://cdn.rohlik.cz/images/grocery/products/1406258/1406258-1671615633152.jpg,69.9,279.6,kg,250.0,g,Mléčné a chlazené > Sýry > Bločky a strouhané > Cheddar,0.563,True,dokonalý domácí hamburger,True
chilli mleté,TRS Chilli prášek extra pálivý,1465577,https://www.rohlik.cz/1465577-trs-chilli-prasek-extra-palivy,https://cdn.rohlik.cz/images/grocery/products/1465577/1465577-1728758214033.jpg,49.9,499.0,kg,100.0,g,Trvanlivé > Koření a ochucovadla > Jednodruhové koření,0.471,True,dršťková polévka,True
chilli sušené,TRS Chilli prášek extra pálivý,1465577,https://www.rohlik.cz/1465577-trs-chilli-prasek-extra-palivy,https://cdn.rohlik.cz/images/grocery/products/1465577/1465577-1728758214033.jpg,49.9,499.0,kg,100.0,g,Trvanlivé > Koření a ochucovadla > Jednodruhové koření,0.643,True,dokonalý domácí hamburger,True
cibule,"Cibule žlutá, síť",1298821,https://www.rohlik.cz/1298821-cibule-zluta-sit,https://cdn.rohlik.cz/images/grocery/products/1298821/1298821-1444753012.jpg,24.9,24.9,kg,1.0,kg,"Ovoce a zelenina > Zelenina > Cibule, česnek a pórek > Cibule a šalotky",0.646,True,"babiččina sekaná, dokonalý domácí hamburger, dršťková polévka, hovězí guláš, klasická česnečka, kuřecí vývar s játrovými knedlíčky, svíčková, valašská kyselica",True
citron,"Citrony balené, síť",1331029,https://www.rohlik.cz/1331029-citrony-balene-sit,https://cdn.rohlik.cz/images/grocery/products/1331029/1331029-1509356868.jpg,29.9,59.8,kg,500.0,g,Ovoce a zelenina > Ovoce > Citrusy > Citrony a limetky,0.622,True,svíčková,True
hamburgerová bulka,Bulka řemeslná světlá,1340589,https://www.rohlik.cz/1340589-bulka-remeslna-svetla,https://cdn.rohlik.cz/images/grocery/products/1340589/1340589-1542791259.jpg,12.9,161.25,kg,80.0,g,Pekárna a cukrárna > Slané pečivo > Housky a kaiserky,0.628,True,dokonalý domácí hamburger,True
hlávkový salát,Salát hlávkový (180g+),1287981,https://www.rohlik.cz/1287981-salat-hlavkovy-180g,https://cdn.rohlik.cz/images/grocery/products/1287981/1287981-1567001726.jpg,39.9,221.666666667,kg,180.0,g,Ovoce a zelenina > Zelenina > Saláty,0.796,True,dokonalý domácí hamburger,True
hovězí dršťky,Toro Hlavečník Hovězí vařené dršťky,1417430,https://www.rohlik.cz/1417430-toro-hlavecnik-hovezi-varene-drstky,https://cdn.rohlik.cz/images/grocery/products/1417430/1417430-1639643640120.jpg,139.93,199.9,kg,0.7,kg,Maso a ryby > Hovězí a telecí > Kostky a speciality > Speciality,0.676,True,dršťková polévka,True
hovězí maso mleté,MASO! Hovězí mletý polotovar,1409173,https://www.rohlik.cz/1409173-maso-hovezi-mlety-polotovar,https://cdn.rohlik.cz/images/grocery/products/1409173/1409173-1619423061786.jpg,162.0,269.9,kg,0.6,kg,Maso a ryby > Hovězí a telecí > Mleté polotovary a burgery > Mleté polotovary,0.824,True,dokonalý domácí hamburger,True
